room_number,building,capacity,features
101,CHBE,200,"General Teaching Space, Tables - Any, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Chalkboard, Projector/Large Screen, CHBE, Document Camera, Moveable Chairs, SPE, WOOD, UFOR, SPPH, SPHA, SOIL, RES, PLNT, PHRM, PHAR, PCTH, PATH, OSOT, NURS, NSCI, NAME, MIDW, MEDG, MECH, MANU, LWS, LFS, LARC, KIN, IWME, IGEN, HUNU, HPB, HGSE, GSAT, GRS, GEM, GBPR, FSCT, FRST, FRE, FOPR, FOPE, FOOD, FNH, FISH, FCOR, ENVE, ELEC, EECE, DHYG, DES, DENT, CPSC, CPEN, CONS, CIVL, CHBE, CEEN, BOTA, BMEG, BIOC, BEST, AQUA, APSC, APPP, APBI, AANB, Rows, Room PC"
101,DMP,40,"NRES, ILS, General Teaching Space, Tables - Any, AC Power to 100% of Seats, Projector/Large Screen, Whiteboard, Tables - Moveable, DMP, Moveable Chairs, WOOD, VANT, URSY, UFOR, SOIL, PLNT, PHRM, PHAR, NAME, MTRL, MINE, MEDG, MECH, MANU, LWS, LING, LFS, LARC, IWME, IGEN, HPB, HGSE, GRS, GEM, GBPR, FRST, FRE, FOPR, FOPE, FCOR, ENVE, ELEC, EECE, CPSC, CPEN, CONS, CIVL, CHBE, CEEN, BMEG, BEST, ASL, AQUA, APSC, APPP, APBI, AANB, Rows"
101,GEOG,48,"ENST, General Teaching Space, Tables - Any, Media Capture (Recording)/Live-Streaming, GEOG, Projector/Large Screen, Whiteboard, Document Camera, Tables - Moveable, Moveable Chairs, JRNL, VISA, URST, SOWK, SCIE, PLAN, MUSC, MATH, LLED, LIBR, LAIS, ISCI, INFO, GEOS, GEOG, EDST, ECED, CSPW, CHIL, CHEM, CCST, ARTS, ARTH, ARST, ARCH, ADHE, Rows, Room PC, UDES"
1011,GWHB,136,"GWHB, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Document Cameras x 2, Projector/Large Screen, Whiteboard, Document Camera, Video Conferencing, Moveable Chairs, Groups, Room PC"
1011,PCN,24,"ENST, PCN, General Teaching Space, Tables - Any, Projector/Large Screen, Whiteboard, Document Camera, Tables - Moveable, Moveable Chairs, URST, SOWK, MATH, LLED, ISCI, INDS, GEOS, GEOG, FIPR, EPSE, EDUC, EDST, EDCP, ECPS, ECED, CNPS, ADHE, Seminar"
1012,BIOL,48,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Media Capture (Recording)/Live-Streaming, Learn Lab, Projector/Large Screen, BIOL, Whiteboard, Document Camera, Tables - Moveable, Moveable Chairs, STAT, SPPH, SPHA, RES, PHYS, PCTH, PATH, OSOT, NURS, NSCI, NAME, MTRL, MINE, MIDW, MICB, MECH, MANU, KIN, INDS, HUNU, HPB, GSAT, FSCT, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, ENVE, ENPH, EDUC, EDCP, ECPS, DSCI, DHYG, DES, DENT, COLX, CNPS, CIVL, CHEM, CAPS, BOTA, BIOL, BIOC, ATSC, APSC, APPP, ANAT, Groups, Room PC"
1012,ESB,150,"General Teaching Space, AC Power to 100% of Seats, ESB, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Chalkboard, Projector/Large Screen, Document Camera, Video Conferencing, VANT, URSY, STAT, SPPH, SPHA, SOIL, RES, PLNT, NAME, MTRL, MRNE, MINE, MICB, MECH, MANU, LWS, LING, LFS, LARC, INDS, IGEN, HUNU, HPB, GRS, FRE, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, ENVE, ELEC, EECE, EDUC, EDCP, ECPS, DSCI, DES, CPSC, CPEN, COLX, CNPS, CIVL, CHEM, CAPS, BOTA, BIOL, ATSC, ASL, AQUA, APSC, APPP, APBI, ANAT, AANB, Rows, Room PC"
1013,ESB,350,"General Teaching Space, AC Power to 100% of Seats, ESB, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Chalkboard, Document Cameras x 2, Projector/Large Screen, Document Camera, Video Conferencing, Rows, Room PC"
102,CHBE,94,"General Teaching Space, Tables - Any, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Chalkboard, Projector/Large Screen, CHBE, Document Camera, Moveable Chairs, SPE, WOOD, UFOR, SPPH, SPHA, SOIL, RES, PLNT, PHRM, PHAR, PCTH, PATH, OSOT, NURS, NSCI, NAME, MIDW, MEDG, MECH, MANU, LWS, LFS, LARC, KIN, IWME, IGEN, HUNU, HPB, HGSE, GSAT, GRS, GEM, GBPR, FSCT, FRST, FRE, FOPR, FOPE, FOOD, FNH, FISH, FCOR, ENVE, ELEC, EECE, DHYG, DES, DENT, CPSC, CPEN, CONS, CIVL, CHBE, CEEN, BOTA, BMEG, BIOC, BEST, AQUA, APSC, APPP, APBI, AANB, Rows, Room PC"
102,LASR,80,"NEPL, JWST, CAP, ENST, THFL, CMST, CINE, ARBM, NORD, AMNE, ASIX, General Teaching Space, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Chalkboard, Projector/Large Screen, Document Camera, LASR, JRNL, WRDS, VISA, URST, TIBT, THTR, SWED, SPAN, SOCI, SOAL, SLAV, SEAL, SCIE, SCAN, SANS, RUSS, RMST, RGST, RELG, PUNJ, PSYC, PPGA, PORT, POLS, POLI, PLAN, PHIL, PERS, NEST, MUSC, MDVL, MATH, LIBR, LATN, LAST, LASO, LAIS, KORN, JAPN, ITST, ITAL, ISCI, INLB, INFO, INDO, HIST, HINU, HEBR, GRSJ, GREK, GERM, GEOS, GEOG, FREN, FNIS, FNEL, FMST, FIST, FHIS, ENGL, DMED, DANI, CTLN, CSPW, CSIS, CRWR, COGS, CNTO, CNRS, CLST, CLCH, CHIN, CHIL, CENS, CDST, CCST, ASTU, ASIC, ASIA, ARTS, ARTH, ARST, ARCL, ARCH, ARBC, ANTH, AFST, ACAM, Rows, Room PC, UDES"
1020,SCRF,24,"General Teaching Space, Tables - Any, SCRF, Projector/Large Screen, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SOWK, RES, MTRL, MRNE, MINE, MICB, LLED, ISCI, INDS, HUNU, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, EDUC, EDST, EDCP, ECPS, ECED, DSCI, DES, COLX, CNPS, CHEM, CAPS, BOTA, BIOL, ATSC, ANAT, ADHE, Rows"
1021,SCRF,40,"General Teaching Space, Tables - Any, SCRF, Projector/Large Screen, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SOWK, RES, MTRL, MRNE, MINE, MICB, LLED, ISCI, INDS, HUNU, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, EDUC, EDST, EDCP, ECPS, ECED, DSCI, DES, COLX, CNPS, CHEM, CAPS, BOTA, BIOL, ATSC, ANAT, ADHE, Rows"
1023,SCRF,40,"General Teaching Space, Tables - Any, SCRF, Projector/Large Screen, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SOWK, RES, MTRL, MRNE, MINE, MICB, LLED, ISCI, INDS, HUNU, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, EDUC, EDST, EDCP, ECPS, ECED, DSCI, DES, COLX, CNPS, CHEM, CAPS, BOTA, BIOL, ATSC, ANAT, ADHE, Rows"
1025,SCRF,40,"General Teaching Space, Tables - Any, SCRF, Projector/Large Screen, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SOWK, RES, MTRL, MRNE, MINE, MICB, LLED, ISCI, INDS, HUNU, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, EDUC, EDST, EDCP, ECPS, ECED, DSCI, DES, COLX, CNPS, CHEM, CAPS, BOTA, BIOL, ATSC, ANAT, ADHE, Rows"
103,CHBE,60,"General Teaching Space, Tables - Any, Media Capture (Recording)/Live-Streaming, Chalkboard, Projector/Large Screen, CHBE, Tables - Moveable, Moveable Chairs, SPE, WOOD, UFOR, SPPH, SPHA, SOIL, RES, PLNT, PHRM, PHAR, PCTH, PATH, OSOT, NURS, NSCI, NAME, MIDW, MEDG, MECH, MANU, LWS, LFS, LARC, KIN, IWME, IGEN, HUNU, HPB, HGSE, GSAT, GRS, GEM, GBPR, FSCT, FRST, FRE, FOPR, FOPE, FOOD, FNH, FISH, FCOR, ENVE, ELEC, EECE, DHYG, DES, DENT, CPSC, CPEN, CONS, CIVL, CHBE, CEEN, BOTA, BMEG, BIOC, BEST, AQUA, APSC, APPP, APBI, AANB, Rows, Room PC"
1030,BRCS,160,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Document Cameras x 2, Projector/Large Screen, Whiteboard, Document Camera, Moveable Chairs, Rows, Room PC, BRCS"
